"","season","niche","site","mean_moist","mean_gN_cm2_hr","mean_rate_gN_g_h","sample_n","total_coverage_cm2","plot_litter_grams","plot_wood_grams","plot_soil_grams","plot_substrate_mass","mean_N_flux_kg_ha","Nfix_kg_ha_season"
"1","fall","Lichen","BiscBas",4.891625,0,0,8,770000,NA,NA,NA,NA,0,0
"2","fall","Lichen","FirLopSo",10.015375,0,0,8,3750000,NA,NA,NA,NA,0,0
"3","fall","Lichen","FounEast",57.393875,0,0,8,50000,NA,NA,NA,NA,0,0
"4","fall","Lichen","GibFalls",6.449625,0,0,8,1180000,NA,NA,NA,NA,0,0
"5","fall","Lichen","GravPit",7.643375,0,0,8,1350000,NA,NA,NA,NA,0,0
"6","fall","Litter","BiscBas",11.868875,0,0,8,NA,2514583.33333333,NA,NA,2514583.33333333,0,0
"7","fall","Litter","FirLopSo",9.2425,0,0,8,NA,1957245.37037037,NA,NA,1957245.37037037,0,0
"8","fall","Litter","FounEast",24.3875,0,0,8,NA,1681921.2962963,NA,NA,1681921.2962963,0,0
"9","fall","Litter","GibFalls",11.39625,0,0,8,NA,2292731.48148148,NA,NA,2292731.48148148,0,0
"10","fall","Litter","GravPit",9.20725,0,0,8,NA,2281921.2962963,NA,NA,2281921.2962963,0,0
"11","fall","Moss","BiscBas",9.3975,3.39558110582772e-08,3.55435658046252e-08,8,1060000,NA,NA,NA,NA,0.000143972638887095,0.210200052775159
"12","fall","Moss","FirLopSo",7.310375,4.2938601626061e-08,4.30174684453742e-08,8,90000,NA,NA,NA,NA,1.5457896585382e-05,0.0225685290146577
"13","fall","Moss","FounEast",37.577625,1.84558937784544e-09,1.9276592033709e-08,8,310000,NA,NA,NA,NA,2.28853082852834e-06,0.00334125500965138
"14","fall","Moss","GibFalls",11.282875,1.51681515306008e-08,1.79856173583863e-08,8,50000,NA,NA,NA,NA,3.03363030612016e-06,0.00442910024693544
"15","fall","Moss","GravPit",7.39225,0,0,8,160000,NA,NA,NA,NA,0,0
"16","fall","Soil","BiscBas",3.155375,0,0,8,NA,NA,NA,247406897.801899,247406897.801899,0,0
"17","fall","Soil","FirLopSo",10.847875,0,0,8,NA,NA,NA,253813149.31758,253813149.31758,0,0
