season,site,niche,quad,blank_corrected_ppm,dry_mass,sample_area_cm2,sample_depth_cm,moist
spring,BiscBas,Litter,SW,1.121129333,0.61,4.909,2,729.51
spring,BiscBas,Litter,SE,2.283569333,0.88,4.909,2,727.27
spring,BiscBas,Wood,SE,1.280118667,2.21,4.909,2,398.19
spring,GravPit,Moss,NE,0.594212,0.61,4.909,2,362.3
spring,FounEast,Lichen,NW,-0.454896,1.15,4.909,2,297.39
spring,BiscBas,Litter,SE,-0.794532667,1.59,4.909,2,264.78
fall,BiscBas,Wood,8,-3.47252,1.33,4.909,2,263.91
spring,BiscBas,Litter,SW,-0.078156667,1.55,4.909,2,258.71
spring,GibFalls,Wood,NE,-0.528001333,1.49,4.909,2,239.6
spring,BiscBas,Wood,NE,0.323486667,2.47,4.909,2,232.79
fall,FounEast,Wood,5,-2.397892,1.23,4.909,2,231.707
fall,BiscBas,Wood,5,-3.15112,1.43,4.909,2,226.573
fall,FounEast,Wood,8,-2.532332,1.13,4.909,2,223.009
fall,FounEast,Wood,3,-2.786468,1.23,4.909,2,219.512
spring,BiscBas,Lichen,SE,0.752444,0.67,4.909,2,210.45
fall,FounEast,Lichen,5,-8.1282792,0.93,4.909,2,203.226
summer_wet,GravPit,Wood,6,4.363338667,1.42,4.909,2,202.113
spring,FirLopSo,Wood,SE,0.039846667,2.74,4.909,2,194.16
spring,BiscBas,Wood,SW,-0.639945333,3.02,4.909,2,192.38
spring,FirLopSo,Wood,NE,10.27995867,2.2,4.909,2,183.64
spring,FounEast,Lichen,SW,0.968688,0.89,4.909,2,183.15
spring,GibFalls,Wood,NW,0.959070667,2.58,4.909,2,181.4
spring,BiscBas,Wood,NW,-0.612041333,3.12,4.909,2,179.49
spring,FounEast,Moss,NE,7.467432,0.67,4.909,2,179.1
spring,GravPit,Wood,NE,0.031118667,2.57,4.909,2,178.21
summer_wet,FounEast,Wood,NW,1.476850667,1.48,4.909,2,174.324
summer_wet,FirLopSo,Wood,SW,-0.215781333,1.65,4.909,2,173.333
summer_wet,FounEast,Wood,SW,-1.129997333,1.2,4.909,2,167.5
spring,BiscBas,Litter,NE,0.375371333,1.45,4.909,2,166.9
summer_wet,BiscBas,Wood,6,2.109258667,0.7,4.909,2,165.714
summer_wet,FounEast,Moss,6,-0.839522,0.533,4.909,2,164.54
fall,FounEast,Wood,7,-2.431484,1.83,4.909,2,159.563
summer_wet,FounEast,Wood,NE,4.911234667,1.47,4.909,2,159.184
summer_wet,GravPit,Wood,NE,7.011394667,2.3,4.909,2,158.261
fall,FirLopSo,Wood,3,-3.65728,1.41,4.909,2,158.156
spring,FirLopSo,Wood,SW,0.780542667,2.1,4.909,2,156.67
spring,BiscBas,Lichen,NW,0.398628,2.85,4.909,2,154.39
spring,GibFalls,Moss,SW,162.217268,1.29,4.909,2,154.26
fall,FirLopSo,Wood,5,-3.313136,1.1,4.909,2,153.636
summer_wet,GravPit,Wood,SE,-0.846821333,1.4,4.909,2,150.714
summer_wet,FounEast,Lichen,SW,1433.840693,0.76,4.909,2,142.105
spring,GravPit,Lichen,SW,-0.543732,0.88,4.909,2,139.07
summer_wet,BiscBas,Wood,SE,-0.307589333,1.98,4.909,2,136.869
spring,FirLopSo,Moss,NW,0.753908,1.57,4.909,2,133.12
summer_wet,FounEast,Litter,6,0.362368,0.807,4.909,2,131.722
spring,GravPit,Wood,NW,3.187430667,2.87,4.909,2,131.01
summer_wet,GibFalls,Lichen,6,863.2734453,0.85,4.909,2,125.882
spring,BiscBas,Moss,SW,8.251468,3.15,4.909,2,125.4
summer_wet,BiscBas,Wood,NE,0.532890667,1.89,4.909,2,122.751
spring,FounEast,Wood,SW,0.716170667,2.91,4.909,2,121.99
spring,BiscBas,Moss,NW,-0.543748,2.36,4.909,2,120.76
spring,FounEast,Wood,NW,0.855250667,1.94,4.909,2,114.64
spring,FirLopSo,Wood,NW,-0.206537333,1.49,4.909,2,112.75
spring,FounEast,Litter,NE,0.560159333,1.7,4.909,2,111.76
fall,BiscBas,Wood,4,-2.96992,1.05,4.909,2,111.429
summer_wet,FounEast,Litter,NW,-0.283016,0.629,4.909,2,108.267
summer_wet,FounEast,Lichen,6,5.530677333,0.49,4.909,2,108.163
fall,FounEast,Lichen,7,-7.8354552,0.86,4.909,2,106.977
summer_wet,FounEast,Wood,SE,1.876882667,1.15,4.909,2,106.957
summer_wet,FounEast,Lichen,NW,-0.795618667,0.32,4.909,2,106.25
summer_wet,FirLopSo,Wood,6,8.752634667,1.44,4.909,2,105.556
summer_wet,GravPit,Wood,NW,8.172018667,1.59,4.909,2,105.031
spring,GibFalls,Litter,SW,-0.068996667,1.72,4.909,2,104.65
summer_wet,FounEast,Litter,NE,-0.936824,0.867,4.909,2,104.152
spring,BiscBas,Lichen,SW,0.000836,3.74,4.909,2,100
summer_wet,GravPit,Moss,SW,0.130966,0.461,4.909,2,97.397
summer_wet,FirLopSo,Wood,NE,3.852810667,2.8,4.909,2,96.429
spring,BiscBas,Lichen,NE,0.257652,3.01,4.909,2,96.01
fall,BiscBas,Wood,2,-3.431088,2.43,4.909,2,94.239
fall,FirLopSo,Wood,8,-3.055624,1.19,4.909,2,94.118
summer_wet,GibFalls,Wood,SE,0.362018667,1.46,4.909,2,93.151
summer_wet,FounEast,Lichen,SE,71.63494133,0.26,4.909,2,92.308
spring,GibFalls,Moss,NW,-0.980372,0.73,4.909,2,91.78
spring,GravPit,Lichen,NW,1.896508,1.87,4.909,2,91.39
spring,BiscBas,Litter,NW,-0.505660667,1.78,4.909,2,89.33
summer_wet,GravPit,Lichen,NW,518.6485333,1.363,4.909,2,88.555
spring,FirLopSo,Lichen,SE,4.143164,2.14,4.909,2,87.38
summer_wet,GravPit,Moss,NW,-0.400746,0.58,4.909,2,86.207
fall,GravPit,Wood,6,-3.228532,3.23,4.909,2,86.068
summer_wet,BiscBas,Wood,NW,1.495482667,2.61,4.909,2,85.824
summer_wet,GibFalls,Lichen,SW,6.797789333,0.63,4.909,2,85.714
summer_wet,FounEast,Moss,NE,2.00151,0.119,4.909,2,84.874
summer_wet,FounEast,Moss,NE,2.00151,0.119,4.909,2,84.874
fall,FounEast,Moss,8,-2.2884376,0.77,4.909,2,83.117
summer_wet,FirLopSo,Wood,NW,0.322130667,1.62,4.909,2,82.099
spring,GibFalls,Lichen,NW,-0.0815,0.26,4.909,2,80.77
summer,FounEast,Wood,7,-0.8037208,1.28,4.909,2,79.688
fall,FounEast,Lichen,8,-7.7802712,0.35,4.909,2,77.143
summer_wet,GravPit,Litter,NW,-0.120152,1.02,4.909,2,75.49
summer_wet,FounEast,Wood,6,-0.011245333,1.42,4.909,2,74.648
summer_wet,FirLopSo,Litter,6,-0.178552,1.06,4.909,2,74.528
spring,BiscBas,Moss,NE,27.987116,4.29,4.909,2,72.03
summer_wet,GibFalls,Litter,NE,-0.924904,0.836,4.909,2,71.053
spring,GibFalls,Lichen,NE,-0.334276,2.63,4.909,2,70.72
fall,FounEast,Moss,1,0.2388024,0.47,4.909,2,70.213
spring,FirLopSo,Lichen,NE,300.9669,4.92,4.909,2,70.12
fall,FounEast,Litter,6,-0.3662408,0.97,4.909,2,70.103
fall,FounEast,Wood,1,-2.58258,1.07,4.909,2,70.093
summer_wet,GibFalls,Wood,NW,1.084506667,2.19,4.909,2,69.406
spring,FounEast,Moss,NW,-0.459472,2.37,4.909,2,68.78
summer_wet,FounEast,Moss,NW,11.498374,1.175,4.909,2,67.66
summer_wet,GravPit,Lichen,6,48.12739733,1.165,4.909,2,67.382
summer_wet,GravPit,Moss,SW,0.130966,0.49,4.909,2,65.306
fall,FounEast,Moss,5,-1.4380776,0.54,4.909,2,64.815
spring,FounEast,Lichen,NE,2.796744,2.86,4.909,2,64.12
summer_wet,FounEast,Litter,SW,-0.860128,0.421,4.909,2,63.895
summer_wet,GravPit,Wood,SW,0.521210667,1.218,4.909,2,63.383
fall,GravPit,Wood,1,-2.218652,1.65,4.909,2,63.03
summer_wet,FirLopSo,Wood,SE,-0.058069333,2.47,4.909,2,61.943
summer_wet,FirLopSo,Lichen,NW,123.4771573,1.45,4.909,2,60.69
summer_wet,BiscBas,Wood,6,2.109258667,1.16,4.909,2,60.345
summer_wet,GravPit,Moss,6,1.407438,1.21,4.909,2,60.331
fall,FounEast,Wood,2,-1.965996,1.58,4.909,2,59.494
summer_wet,GravPit,Lichen,SW,1.342221333,0.97,4.909,2,58.763
fall,BiscBas,Wood,7,-3.27172,1.3,4.909,2,58.462
summer_wet,GravPit,Lichen,SE,-1.493442667,0.77,4.909,2,58.442
summer_wet,GravPit,Lichen,NE,31.48323733,0.875,4.909,2,57.714
summer_wet,FounEast,Litter,SE,-1.151152,0.574,4.909,2,56.794
